Story ID,Title,As a,I want,So that,Acceptance Criteria,Preconditions,Postconditions,Action Buttons,Priority,Story Points,,,
US-NA-011,Channel Fallback & Retry,Super Admin,"set fallback channel sequence (e.g., if SMS fails, send via WhatsApp, then Email) and retry policy",notifications are reliably delivered even when a primary channel fails,"1. Per channel group, define fallback order: e.g., SMS, WhatsApp, Email. 2. Retry policy: max attempts (3), initial delay (1 min), backoff multiplier (2). 3. After all fallbacks and retries fail, notification marked 'Failed' with error reason. 4. Fallback usage logged in NOTIFICATIONS table. 5. Test fallback with simulated channel failure.",Channels already configured with providers.,Fallback and retry logic applied during notification dispatch. Reliability improved.,"Set Fallback Sequence, Set Retry Policy, Test Fallback, Save, View Fallback Log",Medium,5,,,
US-NA-012,Create Reusable Template Library,Super Admin,"create notification templates per program+event+channel using placeholders like {{record_id}}, {{assignee}}, {{deep_link}}",messages are consistent, professional, and dynamic without hardcoding,"1. Template form: Name, Program, Event, Channel (Email/In‑App/WhatsApp/SMS), Subject (Email only), Body text. 2. Placeholder picker shows available fields. 3. Preview with sample data before saving. 4. Templates can be cloned across channels. 5. Default fallback template exists for each channel. 6. Editing a template immediately affects future notifications, not past ones.",Program and Event already defined.,Templates saved in ALERT_TEMPLATES. Alert rules can select them.,"Create Template, Edit, Delete, Clone, Preview, Insert Placeholder",High,5,
US-NA-013,Define Dynamic Placeholders,Super Admin,"define custom placeholders for any data field in a program (e.g., {{site_name}}, {{due_date}}, {{severity}})",templates can reference any record attribute without changing code,"1. For each program, define placeholder name (e.g., site_name) mapped to a data source (JSON path in record metadata). 2. Test placeholder resolution with a sample record. 3. If placeholder cannot be resolved at runtime, system shows empty string and logs warning. 4. Built-in placeholders: record_id, program_name, created_by, assigned_to, event_type, timestamp, deep_link. 5. Custom placeholders available in all templates of that program.",Program already created.,Custom placeholders stored. Template engine resolves them at runtime.,"Add Placeholder, Map to Field, Test Resolution, Edit, Delete",Medium,3,,,
US-NA-014,Map to Organizational Hierarchy,Super Admin,"map recipient Recipient Group to organizational hierarchy levels (Project, Region, Site, Department)",notifications reach the correct manager based on where the record belongs,"1. Hierarchy definition: levels (e.g., Site, Zone, Region, Company). 2. For each role (e.g., 'Manager'), select hierarchy level to resolve (e.g., 'Site Manager'). 3. System uses record's site_id to find the manager of that specific site. 4. Fallback if no manager at that level: go up one level or use default. 5. Test resolution with sample record.",Organizational structure and user assignments exist.,Resolution logic stored. Notification engine resolves managers based on hierarchy.,"Define Hierarchy Levels, Map Role to Level, Set Fallback, Test Resolution, Save",High,5,,,
US-NA-015,Bulk Upload Configuration via Excel,Super Admin,"upload alert configurations (programs, events, rules, templates) using an Excel/CSV file with validation",multiple configurations can be created or updated efficiently without manual UI entry,"1. Upload page: choose file (template provided), map columns. 2. Validate: check duplicate codes, existing references, probability sums (if applicable). 3. Show validation report with errors and warnings. 4. 'Dry Run' mode shows what would be created without saving. 5. On confirmed upload, create/update records. 6. Audit log entry for bulk operation.",Super Admin has prepared Excel file in correct format.,Configurations created/updated. Errors reported. Audit log recorded.,"Download Template, Upload File, Validate, Dry Run, Execute Upload, Cancel",Medium,5,,,
US-NA-016,Analytics Dashboard for Notifications,Super Admin,"view notification analytics: delivery trends, failure rates, channel usage, volume per program",the health and performance of the notification system can be monitored and optimized,1. Dashboard charts: Notifications Sent vs Failed (daily/weekly). 2. Top 5 Programs by volume. 3. Channel distribution (Email/In‑App/WhatsApp/SMS). 4. Average delivery time per channel. 5. Failure reasons breakdown. 6. Date range filter. 7. Export charts as PNG or data as CSV.,Notification logs exist with status.,Interactive dashboard displayed. Data exportable.,"Apply Date Range, Export CSV, Refresh, Drill Down by Program, View Failures",High,5,,,
US-NA-017,Rule Simulation (Preview),Super Admin,"simulate an event trigger for a given program, event, and sample record to see which recipients and channels would be used without actually sending",misconfigurations can be detected before going live, and system behavior is transparent,"1. Simulation page: select Program, Event, Record ID (or create dummy data). 2. Click 'Simulate'. 3. System shows: matched alert rules, resolved recipients (names + roles), channels selected, template preview (with resolved placeholders). 4. Option to send a test notification to a specific user. 5. No actual notification log entry created (or flagged as 'Simulation'). 6. Save simulation as test case.",Program, Event, and alert rules exist.,Simulation results displayed. User can iterate configuration safely.,"Select Program/Event, Enter Record ID, Simulate, Send Test, Save Simulation",High,5
US-NA-018,Audit Trail for Configuration Changes,Super Admin,"view complete audit log of all configuration changes (who, when, old value, new value, entity type)",compliance is ensured and any incorrect change can be traced or rolled back,"1. Audit Log page: columns Timestamp, User, Action (Create/Update/Delete/Activate/Deactivate), Entity Type (Program/Event/Role/AlertRule/Template), Old Value (JSON), New Value (JSON). 2. Filter by User, Entity Type, Date Range. 3. Search by keyword. 4. Export to CSV. 5. 'View Details' expands full JSON diff. 6. Audit logs are immutable and cannot be deleted.",Configuration changes made through UI or bulk upload.,Audit trail stored. Accessible only to Super Admin.,"Filter by User, Filter by Entity, Date Range, Export, View Details, Search",High,3,,,
US-NA-019,Version Control & Rollback,Super Admin,maintain versions of the entire notification configuration and rollback to any previous version,after a bad configuration change, the system can be restored to a known good state quickly,"1. Version list: timestamp, created by, comment. 2. 'Create Version' manually or auto before major changes. 3. Compare two versions: show differences. 4. 'Rollback' to selected version: prompts confirmation, creates a new version (the rollback). 5. Rollback does not affect notification logs or history. 6. Maximum versions configurable (e.g., keep last 20).",Configurations have been saved over time.,Version snapshots stored. Rollback restores all configuration tables to that version.,"Create Version, Compare Versions, Rollback, View Version History, Set Retention",High,5,,
US-NA-020,Environment Configuration (Dev/UAT/Prod),Super Admin,"separate notification configurations for Development, UAT, and Production environments, and migrate between them",changes can be tested in lower environments before pushing to production,1. Environment selector at top of Admin panel (Dev / UAT / Prod). 2. Each environment has its own database tables or schema prefix. 3. 'Export Config' from one environment downloads a JSON file. 4. 'Import Config' to another environment with validation. 5. 'Sync from Prod' overwrites lower environment. 6. Warning before destructive imports. 7. Environment label clearly shown on every page.,Super Admin has access to all environments.,Configurations isolated per environment. Migration possible with audit.,"Select Environment, Export Config, Import Config, Sync from Prod, Compare Environments",High,5,,,
US-ADM-001,Manage Alert Rules via UI,Admin,"create, edit, activate, deactivate, and delete alert rules through a UI with no code changes",the notification system is fully configurable without developer involvement,"1. Rule list page with search/filter by Program, Event, Status. 2. Create/Edit form: Program, Event, Roles (multiselect), Channels (multiselect), Template, SLA hours, Conditions, Escalation. 3. Toggle Active/Inactive per rule. 4. Bulk activate/deactivate. 5. Delete requires confirmation and shows usage impact. 6. Audit logged for all changes.",Admin logged in with configuration permissions.,Alert rules stored. Changes take effect immediately without restart.,"Add Rule, Edit, Delete, Activate/Deactivate, Bulk Actions, Filter",High,5,,,
US-ADM-002,Manage Notification Templates,Admin,"create, edit, preview, and clone notification templates per program, event, and channel",notification messages are easy to maintain and customize,"1. Template list: filter by Program, Event, Channel. 2. Edit template with rich text (Email) or plain text (SMS/WhatsApp). 3. Placeholder picker. 4. Preview with dummy data. 5. Clone template across channels (e.g., copy Email body to SMS, shorten automatically). 6. Delete only if not used by active rule. 7. Test send to self.",Programs and events exist.,Templates stored. Alert rules can reference them.,"Create Template, Edit, Clone, Preview, Test Send, Delete",High,3,,,
US-ADM-003,Override User Role Mappings for Specific Record,Admin,manually override which user receives a notification for a specific Recipient Group on a specific record,exceptional cases can be handled without changing global configuration,"1. On any record detail page, Admin sees 'Notification Overrides' section. 2. For each Recipient Group (Assignee, Approver, etc.), override user selection. 3. Save override. 4. When event fires for that record, overridden user is used instead of resolved user. 5. Override can be removed. 6. Audit log tracks override changes.",Record exists in system.,Role overrides stored in USER_ROLES_OVERRIDE table. Notifications respect overrides.,"Set Override, Remove Override, View Overrides, Audit Override Changes",Medium,3,,,
US-ADM-004,View Notification Log with Full Audit,Admin,"view complete, searchable, filterable log of all notifications sent (or attempted), including status, error details, and read receipts",troubleshooting and compliance audits can be performed efficiently,"1. Log page columns: Notification ID, Timestamp, Program, Event, Recipient, Channel, Template, Status (Delivered/Failed/Queued/Read), Sent At, Read At, Error Detail. 2. Filters: Date Range, Program, Event, Status, Channel, Recipient. 3. Search by Notification ID or Record ID. 4. Click row to see full payload. 5. Export to CSV. 6. For failed notifications, 'Retry' button (if allowed).",Notifications have been triggered.,Log displayed. User can export and retry failures.,"Filter, Search, Export CSV, View Details, Retry Failed, Mark as Read (admin)",High,3,,,
US-ADM-005,Bulk Reset User Preferences,Admin,"reset notification preferences for a group of users (by role, program, or department) to system defaults",after policy changes or user complaints, preferences can be standardized easily,"1. Bulk Preference Reset page: select target group (Role, Department, Program). 2. Preview number of affected users. 3. Select which preferences to reset (channel toggles, quiet hours, digest mode). 4. Confirm with reason. 5. Audit log records the bulk reset. 6. Affected users may receive a notification that their preferences were reset (opt-out option).",Users have existing preferences.,User preferences reset to default values. Audit log entry created.,"Select Group, Preview Users, Choose Reset Options, Confirm Reset, Send Notification to Users",Medium,3,,
US-ADM-006,SLA Breach Dashboard,Admin,"view a dashboard showing all records currently in SLA breach or approaching breach, across all programs",proactive action can be taken before issues escalate further,"1. Dashboard shows table: Record ID, Program, Created At, SLA Deadline, Time Remaining, Status (Breached / Warning / OK). 2. Red highlight for breached (>0). 3. Orange highlight for warning (within 2 hours). 4. Click Record ID to open detail page. 5. 'Notify Now' button to manually send escalation. 6. Export list. 7. Auto-refresh every minute.",SLA configured in alert rules and records pending.,Dashboard displays real-time SLA status. Manual escalation possible.,"Refresh, Notify Now, View Record, Export CSV, Auto-Refresh Toggle",High,5,,,
US-ADM-007,Test Notification Broadcast,Admin,"send a test notification to a selected user, Recipient Group, or device to verify configuration and channel connectivity",configurations can be validated without waiting for real events,1. Test Broadcast page: select Recipient Type (Single User / Recipient Group / Device). 2. Select Program & Event (or use generic test). 3. Customize test message (override template). 4. Select channels to test. 5. 'Send Test' dispatches notification. 6. Test notification is logged with 'IsTest' flag. 7. Recipient receives notification with '[TEST]' prefix.,Alert rules and templates exist.,Test notification sent. Log entry created but excluded from analytics reports.,"Select Recipient, Choose Channels, Customize Message, Send Test, View Test Log",Medium,2,,,
US-ADM-008,Monitor Channel Health,Admin,"view real-time health status of external notification channels (SMTP, WhatsApp Business API, SMS gateway)",channel outages are detected quickly and alternative actions can be taken,"1. Channel Health page: each channel shows status (UP / DOWN / DEGRADED), last successful send, last failure, error rate, average latency. 2. 'Test Channel' button sends a ping. 3. Alert banner appears when channel down for >5 minutes. 4. Historical uptime chart (last 24h). 5. Option to automatically failover to fallback channel when health degrades.",Channel providers configured.,Health status displayed. Admin can test and see historical data.,"Test Channel, View History, Configure Alert Thresholds, Manual Failover, Refresh",Medium,3,,,
US-EU-001,Receive In-App Notification,Any System User,receive realtime notifications inside the application with a bell icon and unread count,stay informed without leaving the current workflow,"1. Bell icon in top navigation shows red badge with unread count. 2. Clicking bell opens notification panel (last 50 notifications). 3. Each notification: icon, title, body (truncated), relative timestamp, read/unread indicator. 4. Clicking notification navigates to the relevant record and marks it as read. 5. 'Mark all as read' button resets badge to 0. 6. Panel has filter: All / Unread / By Program. 7. 'View All' link goes to full notification history page.",User is logged into the application.,User sees notifications in real time. Badge count updates within 5 seconds of new notification.,"Open Notifications, Mark as Read, Mark All as Read, Filter, View All, Dismiss",High,5,,,
US-EU-002,Receive Email Notification,Any System User,receive well formatted HTML email notifications for important events,stay informed even when not actively using the application,"1. Email is sent within 60 seconds of event trigger. 2. HTML template with company branding, logo, and clear call‑to‑action button. 3. Plain‑text fallback for email clients that block HTML. 4. Deep link in email opens the record in browser or app. 5. Unsubscribe link per category. 6. Email includes record summary and key fields. 7. Delivery retry on failure (3 attempts).",User has email channel enabled in preferences and a valid email address.,Email delivered to user's inbox. Clicking link opens record.,"Click Deep Link, Unsubscribe, View in Browser, Report Spam (external)",High,3,,,
US-EU-003,Receive WhatsApp / SMS Notification,Any System User,receive short notification messages on my mobile phone via WhatsApp or SMS,get critical alerts even when away from desktop or without internet data,"1. WhatsApp template follows approved format (business account). 2. SMS is plain text, max 160 characters (concatenation allowed). 3. Message includes record ID, short description, and a shortened deep link (URL shortener). 4. No branding overload to fit character limits. 5. User can reply 'STOP' to unsubscribe from SMS. 6. Delivery confirmation logged. 7. Fallback: if WhatsApp fails, system can send SMS (if configured).",User has WhatsApp/SMS enabled in preferences and verified mobile number.,User receives notification on mobile. Clicking link opens mobile web or app.,"Click Link, Reply STOP, Report Delivery Issue",High,5,,,
US-EU-004,Manage Personal Notification Preferences,Any System User,control which types of notifications I receive and through which channels (In-App, Email, WhatsApp, SMS),avoid being overwhelmed and focus on what matters to my role,"1. Preferences page: list of notification categories (by Program or by Event Type). 2. For each category, toggle per channel (In‑App, Email, WhatsApp, SMS). 3. Default all channels enabled for critical, user can disable non‑critical. 4. 'Reset to Default' button. 5. Preferences saved instantly. 6. Changes apply to future notifications only, not past ones. 7. Admins cannot override individual preferences (except bulk reset US-ADM-005).",User logged in.,User preferences stored in USER_PREFERENCES. Notification dispatcher respects them.,"Enable/Disable Channel per Category, Reset to Default, Save, Cancel",Medium,3
US-EU-005,Set Quiet Hours,Any System User,define a time window (e.g., 10 PM to 7 AM) when non critical notifications are queued rather than sent immediately,avoid being disturbed during rest hours,"1. Quiet Hours settings: Start time, End time, Days of week (Mon‑Sun). 2. Enable/disable Quiet Hours. 3. Choose which categories are considered 'Critical' (always bypass quiet hours). 4. During quiet hours, non‑critical notifications are stored and delivered at end of quiet window. 5. User sees count of queued notifications when quiet hours end. 6. Option to 'Deliver Now' for urgent needs.",User has preferences page open.,Quiet hours stored. Notification dispatcher respects delay.,"Set Start/End Time, Select Days, Mark Critical Categories, Enable/Disable, Deliver Now",Low,3,,
US-EU-006,Enable Digest Mode,Any System User,receive a daily or weekly summary digest instead of real‑time notifications for selected categories,reduce notification noise while still staying informed,"1. On Preferences page, for each category select: 'Real‑time' or 'Digest (Daily)' or 'Digest (Weekly)'. 2. Digest delivery time: user picks hour (e.g., 8 AM). 3. Daily digest includes all notifications from previous day for that category, grouped and summarized. 4. Weekly digest includes last 7 days. 5. Digest email has clear subject line and summary table with links. 6. User can click 'View All' in digest to see full list. 7. Digest mode does not affect In‑App notifications (they always appear in real time).",User has email enabled.,Digest scheduled. User receives summary email at chosen time.,"Set Digest Frequency, Choose Delivery Time, View Sample Digest, Disable Digest",Low,2,,,
US-EU-007,Deep Link from Notification to Record,Any System User,click on any notification (In‑App, Email, WhatsApp, SMS) and be taken directly to the exact record that triggered it,access the relevant information instantly without searching,"1. In‑App notification click: navigates within app to record detail page. 2. Email deep link: opens web app or mobile app (app deep link) to the record. 3. WhatsApp/SMS shortened URL redirects to mobile web or app. 4. If user not logged in, redirects to login then to the record. 5. Deep link includes context (e.g., record ID, program). 6. After login, record page loads. 7. If record deleted, show friendly error.",Notification contains a valid deep link.,User lands on correct record page. Analytics track link clicks.,"Click Notification, Open in App, Open in Browser, Copy Link",High,3
US-EU-008,Unsubscribe from a Category,Any System User,globally opt out of all notifications for a specific category (e.g., all Checklist notifications) from any channel,stop receiving unwanted notifications without changing each channel individually,"1. Unsubscribe link in email footer: 'Unsubscribe from [Category] notifications'. 2. Clicking opens preferences page with that category highlighted and all channels disabled. 3. Confirmation dialog: 'You will no longer receive [Category] notifications via any channel. Confirm?' 4. After confirmation, all channels for that category are disabled. 5. User can re‑enable anytime. 6. Unsubscribe action logged for audit. 7. No further notifications of that category are sent.",User has received an email notification.,User unsubscribed from category. Preferences updated. Future notifications blocked.,"Unsubscribe Link (email), Confirm, Re‑enable Later, Undo",Medium,2,,
US-EU-009,View Personal Notification History,Any System User,view my own past 90 days of notifications with search, filter, and read/unread status,review missed notifications or find a record I was notified about earlier,"1. Notification History page: list of notifications for logged‑in user only. 2. Columns: Timestamp, Program, Event, Message preview, Channel, Status (Read/Unread). 3. Filter by Program, Date Range, Status. 4. Search by keyword. 5. Mark as read/unread. 6. Click any row to view full message and deep link to record. 7. Pagination (50 per page).",User logged in.,History displayed. User can manage read status and find past notifications.,"Filter, Search, Mark as Read, Mark All as Read, View Details, Go to Record",Medium,3,
US-EU-010,Receive Escalation Notification (as Manager),Manager / Supervisor,receive a clear escalation notification when a record assigned to my team has breached its SLA and the primary assignee has not acted,take corrective action before the issue becomes critical,"1. Escalation notification includes: 'Escalated: [Record ID] – [Program] has been pending for [X] hours beyond SLA.' 2. Shows original assignee name and time since assignment. 3. Deep link to record. 4. Channel: Email + In‑App, optionally WhatsApp/SMS if manager enabled. 5. Only one escalation per level per record. 6. If record is resolved after escalation, no further escalation notifications. 7. Manager can 'Acknowledge' escalation (logs acknowledgment).",User has manager role. Alert rule with escalation configured.,Escalation notification delivered. Manager can act. Acknowledgment logged.,"View Record, Acknowledge Escalation, Assign New Owner, Snooze (if allowed)",High,5,,,
